key,term_en,translation,options,desc_en,desc_vi,chapter,status,notes
focus group,focus group,thảo luận nhóm,thảo luận nhóm,"gathering of people, typically six to twelve participants, who come together to discuss a topic presented by a moderator, who usually poses questions and collects qualitative data that can be used to answer questions or define research further","việc tập hợp một nhóm người, thường từ sáu đến mười hai người, cùng thảo luận một chủ đề do người điều phối đưa ra, người này đặt câu hỏi và thu thập dữ liệu định tính để trả lời câu hỏi hoặc định hướng nghiên cứu sâu hơn",Chương 8,approved,Source: glossary.md — Chương 8
guerrilla marketing,guerrilla marketing,tiếp thị du kích,tiếp thị du kích,creative approaches to marketing that seek to gain maximum exposure through unconventional means,các cách tiếp cận sáng tạo trong marketing nhằm đạt được mức độ tiếp cận tối đa thông qua các phương thức không truyền thống,Chương 8,approved,Source: glossary.md — Chương 8
introductory offers,introductory offers,ưu đãi ban đầu,ưu đãi ban đầu,using lower initial prices to attract new customers and build a customer base before prices return to their standard amount,việc sử dụng mức giá ban đầu thấp để thu hút khách hàng mới và xây dựng tệp khách hàng trước khi giá quay trở lại mức tiêu chuẩn,Chương 8,approved,Source: glossary.md — Chương 8
jingle,jingle,đoạn nhạc quảng cáo,đoạn nhạc quảng cáo,short song or sound that brands a product or company and helps to promote it,đoạn nhạc hoặc âm thanh ngắn giúp nhận diện thương hiệu cho sản phẩm hoặc công ty và hỗ trợ việc quảng bá,Chương 8,approved,Source: glossary.md — Chương 8
loss leader pricing,loss leader pricing,định giá mồi,định giá mồi,"using a below-standard price to attract customers in the hope that they will purchase other, more profitable goods and services","việc sử dụng mức giá thấp hơn tiêu chuẩn để thu hút khách hàng, với kỳ vọng rằng họ sẽ mua các hàng hóa và dịch vụ khác có lợi nhuận cao hơn",Chương 8,approved,Source: glossary.md — Chương 8
market analysis,market analysis,phân tích thị trường,phân tích thị trường,analysis of the overall interest in the product or service within the industry by its target market,việc phân tích mức độ quan tâm tổng thể đối với sản phẩm hoặc dịch vụ trong ngành bởi thị trường mục tiêu,"Chương 8, Chương 11",approved,"Source: glossary.md — Chương 8, Chương 11"
market opportunity,market opportunity,cơ hội thị trường,cơ hội thị trường,unmet need within a target demographic,nhu cầu chưa được đáp ứng trong một nhóm khách hàng mục tiêu,Chương 8,approved,Source: glossary.md — Chương 8
market research,market research,nghiên cứu thị trường,nghiên cứu thị trường,collection and analysis of data related to a business’s target market,việc thu thập và phân tích dữ liệu liên quan đến thị trường mục tiêu của doanh nghiệp,Chương 8,approved,Source: glossary.md — Chương 8
marketing,marketing,tiếp thị,tiếp thị,umbrella term given to those activities that companies use to identify consumers and convert them into buyers,thuật ngữ bao trùm cho các hoạt động mà công ty sử dụng để xác định người tiêu dùng và chuyển họ thành người mua,Chương 8,approved,Source: glossary.md — Chương 8
marketing mix,marketing mix,marketing hỗn. hợp,marketing hỗn. hợp,basic set of possible strategies and approaches that marketers use to reach their target market,tập hợp cơ bản các chiến lược và cách tiếp cận mà các nhà tiếp thị sử dụng để tiếp cận thị trường mục tiêu,Chương 8,approved,Source: glossary.md — Chương 8
marketing plan,marketing plan,kế hoạch marketing,kế hoạch marketing,formal business document that used as blueprint for how a company will achieve its marketing and business goals,tài liệu kinh doanh chính thức được sử dụng như một bản thiết kế cho cách một công ty sẽ đạt được các mục tiêu marketing và kinh doanh của mình,Chương 8,approved,Source: glossary.md — Chương 8
marketing strategy,marketing strategy,chiến lược marketing,chiến lược marketing,company’s game plan for how it will reach consumers and convert them into paying customers,kế hoạch tổng thể của công ty về cách tiếp cận người tiêu dùng và chuyển họ thành khách hàng trả tiền,Chương 8,approved,Source: glossary.md — Chương 8
odd numbers strategy,odd numbers strategy,chiến lược giá số lẻ,chiến lược giá số lẻ,psychological pricing strategy that uses odd numbers in the prices to make a product’s price point more attractive to consumers,chiến lược định giá tâm lý sử dụng các con số lẻ trong giá nhằm làm cho mức giá của sản phẩm trở nên hấp dẫn hơn đối với người tiêu dùng,Chương 8,approved,Source: glossary.md — Chương 8
penetration pricing,penetration pricing,định giá thâm nhập,định giá thâm nhập,pricing below that of a competitor’s price,việc định giá thấp hơn mức giá của đối thủ cạnh tranh,Chương 8,approved,Source: glossary.md — Chương 8
people,people,con người/nguồn nhân lực,con người/nguồn nhân lực,company’s human resources,nguồn nhân lực của công ty,Chương 8,approved,Source: glossary.md — Chương 8
personal selling,personal selling,bán hàng cá nhân,bán hàng cá nhân,using face-to-face interactions to communicate and influence a customer to make a purchase,việc sử dụng các tương tác trực tiếp để giao tiếp và tác động đến khách hàng nhằm thúc đẩy họ thực hiện việc mua hàng,Chương 8,approved,Source: glossary.md — Chương 8
physical environment,physical environment,môi trường vật chất,môi trường vật chất,where a service takes place or a product is manufactured,nơi mà dịch vụ được cung cấp hoặc sản phẩm được sản xuất,Chương 8,approved,Source: glossary.md — Chương 8
place,place,phân phối,phân phối,channels or locations—physical or digital—where products can be found by customers,các kênh hoặc địa điểm (vật lý hoặc kỹ thuật số) nơi khách hàng có thể tìm thấy sản phẩm,Chương 8,approved,Source: glossary.md — Chương 8
positioning (or value proposition),positioning (or value proposition),định vị (hoặc giá trị đề xuất),định vị (hoặc giá trị đề xuất),"statement of how you want the customer to perceive your company, good, or service","tuyên bố về cách bạn mong muốn khách hàng nhận thức về công ty, sản phẩm hoặc dịch vụ của bạn",Chương 8,approved,Source: glossary.md — Chương 8
premium pricing,premium pricing,định giá cao,định giá cao,charging a price above a competitor’s price,việc đặt mức giá cao hơn so với giá của đối thủ cạnh tranh,Chương 8,approved,Source: glossary.md — Chương 8
price,price,giá,giá,value that must be exchanged in order for a customer to receive a product or service,giá trị mà khách hàng phải trao đổi để nhận được sản phẩm hoặc dịch vụ,Chương 8,approved,Source: glossary.md — Chương 8
process,process,quy trình,quy trình,chain of procedures and/or activities required to provide the product to the customer,chuỗi các quy trình và/hoặc hoạt động cần thiết để cung cấp sản phẩm cho khách hàng,Chương 8,approved,Source: glossary.md — Chương 8
